var_0,var_1,var_2,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
9,9,6,1.8212000000000002,2.8688000000000002,1.8771,0.5506,1.2739,2.0
7,5,2,2.242,1.7682,2.6833,1.9357000000000002,1.994,1.0
8,8,8,1.5228,1.2881999999999998,1.8107000000000002,1.5520999999999998,1.9548999999999999,3.0
9,9,7,1.3778000000000001,2.9879,1.6191,0.648,1.5833000000000002,2.0
8,8,4,1.8988,1.7919999999999998,2.6115000000000004,1.6412,1.4459,2.0
9,0,3,1.9224,2.277,2.0854,1.8085,2.1776999999999997,1.0
7,7,7,2.1397,1.7993999999999999,1.2541,1.1354,1.6363,3.0
8,5,0,1.798,1.8338999999999999,2.0175,1.7989,2.7187,1.0
2,5,0,1.5068000000000001,1.3144,1.6972,2.6748,2.7268,1.0
5,3,3,1.5135,1.1333000000000002,2.5961,1.4851999999999999,2.5293,2.0
0,0,8,1.627,1.943,0.8078,2.5486,1.9837,2.0
9,9,4,1.3999000000000001,2.8084,2.1997999999999998,1.1641,1.6836000000000002,2.0
8,5,5,1.8961,1.7866,2.7091,1.3613,2.0080999999999998,2.0
8,9,1,0.5778,2.0639,1.6814,0.7315,2.6014999999999997,1.0
0,8,0,2.6681,1.2898999999999998,1.084,2.224,1.1608,2.0
9,5,5,2.3189,2.1591,2.5216,1.4274,1.5099,2.0
6,6,6,1.3225,2.0168,1.3035,1.8084,1.856,3.0
3,5,3,1.8504,1.3395000000000001,2.5854,2.5819,2.1204,2.0
4,4,4,1.3932,1.2149,1.2066,1.8420999999999998,0.9134,3.0
9,5,2,2.1896,2.3810000000000002,2.6166,1.9822000000000002,1.9284,1.0
3,5,4,1.7597,1.8709,2.5571,2.778,1.6286999999999998,1.0
7,5,0,2.2732,1.5936,1.8967,1.8185,2.2861000000000002,1.0
0,0,0,2.1782,1.9338000000000002,0.7171,2.5213,1.8991,3.0
6,0,4,1.358,2.2436,1.8957000000000002,2.6608,2.2705,1.0
2,5,3,1.4223,1.2960000000000003,2.617,2.5951,2.7941,1.0
2,2,3,0.7293000000000001,1.0583,2.0722,2.4408,2.5056,2.0
2,3,3,1.1542,0.8695,2.4371,2.0216,2.8303,2.0
8,3,3,1.4454,1.3889999999999998,2.7574,1.1457,2.8222,2.0
0,5,6,2.6382,2.4182,1.9503,2.001,1.1750999999999998,1.0
6,0,8,0.982,1.7398,1.0949,2.5717,2.7795,1.0
