var_0,var_1,var_2,var_3,var_4,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
2,2,5,5,2,2.1700999999999997,3.8072,3.2935000000000003,3.781,4.4075,4.0
0,8,8,2,2,3.5372,2.5395,3.5336000000000003,3.7092,1.6827999999999999,3.0
10,11,0,12,0,2.1583,4.505800000000001,3.3129,3.6563999999999997,2.5204999999999997,2.0
0,15,5,15,16,3.4749,4.2202,1.82,4.256,3.0120000000000005,2.0
9,0,5,6,12,3.8725000000000005,3.4423000000000004,3.5458000000000003,2.4141999999999997,3.0904999999999996,1.0
7,15,8,12,12,4.3572,3.3808,3.1342,1.6934000000000002,1.2421,2.0
6,12,5,6,14,3.4169,2.4363,3.8905000000000003,3.5648999999999997,3.3714,2.0
3,11,5,0,3,2.0002999999999997,3.7138,2.4858,4.8696,3.2661999999999995,2.0
10,17,5,6,10,2.4245,3.3225,4.5424,4.2529,3.8880999999999997,2.0
8,17,5,5,17,2.6149999999999998,3.6941,3.9899,2.7087,4.3776,3.0
9,6,0,9,0,2.1062000000000003,4.8277,3.4713,2.5138,2.5031,3.0
17,15,13,15,17,2.7196000000000002,3.7559,1.7069999999999999,3.5303999999999998,4.2096,3.0
10,17,5,9,2,2.3355,3.6857999999999995,4.847,3.7817000000000003,3.6113,1.0
17,17,14,6,9,3.2288,2.5098,2.6917,3.7853,4.5322000000000005,2.0
0,15,8,6,16,3.9049,3.3736,2.1893000000000002,4.0113,2.2611999999999997,1.0
15,3,8,3,15,4.5447,2.8920999999999997,3.4665,1.9784000000000002,0.9755999999999999,3.0
17,17,5,6,9,3.2869,3.0778,3.6472,3.8249999999999997,4.4878,2.0
6,15,5,6,5,2.6370999999999998,3.6921,3.6706,3.8372,3.7466999999999997,3.0
9,15,5,3,12,3.9844,4.3375,3.4108000000000005,2.4091,2.0793,1.0
15,17,5,6,3,3.3354000000000004,2.9453,3.7346,4.1558,3.7003,1.0
0,12,5,3,15,4.1181,3.509,3.5551000000000004,3.1614,1.8355000000000001,1.0
17,15,8,6,9,3.9307000000000003,3.0974,2.6857,3.4808999999999997,3.2343,1.0
17,17,5,5,17,3.0216,3.4972,3.3311,3.1976999999999998,4.3743,4.0
10,12,12,12,12,3.5709999999999997,3.1785000000000005,3.49,1.8997,1.6046,4.0
17,7,5,6,17,3.2302000000000004,3.4533,3.8916999999999997,3.1837999999999997,4.261299999999999,2.0
15,15,5,5,15,4.0782,3.6249,2.9411000000000005,2.8061,2.4472,4.0
0,15,0,0,0,2.3692,4.269,1.9847000000000001,4.3548,2.6635,4.0
7,7,7,7,13,4.0194,2.2373,2.9691,1.657,2.1234,4.0
17,15,14,15,9,3.4426,3.376,1.3609,3.6858999999999997,4.0295,2.0
17,0,5,5,12,3.7702,3.3529,2.4967,2.3187999999999995,3.456,2.0
0,11,0,0,0,1.8822999999999999,4.322799999999999,2.195,4.5693,2.9271,4.0
10,12,5,3,15,3.5707,3.4960999999999998,4.246700000000001,3.2022,1.9728000000000003,1.0
2,9,5,6,2,2.7162,2.723,3.5571,4.513299999999999,3.9509999999999996,2.0
0,15,14,6,14,4.0703000000000005,2.3989000000000003,2.0328,3.5579,2.7225,2.0
17,17,14,6,14,3.5151000000000003,1.6232999999999997,2.6881,3.4405,3.9275,3.0
15,15,0,15,15,3.7965000000000004,3.6195,2.2331000000000003,3.3391,2.4747,4.0
5,5,5,9,5,1.4736999999999998,3.5613,4.4675,2.4512,2.8711,4.0
0,11,0,15,0,2.3973,4.3567,2.2164,4.4214,3.2937999999999996,3.0
0,9,5,15,3,3.3665000000000007,3.4012000000000002,1.9871,4.4804,3.1811,1.0
17,14,14,5,14,3.899,2.1961,1.2779,2.0739,2.9501000000000004,3.0
10,17,0,0,0,1.454,3.6856,3.3543999999999996,4.4884,3.2996,3.0
15,12,5,2,13,4.2599,2.0092,4.4959999999999996,2.834,1.4979,1.0
13,12,12,12,12,3.7019,2.5469999999999997,3.4356,1.3953,1.8318999999999999,4.0
0,15,0,15,0,2.8842000000000003,4.302899999999999,2.0061,4.2069,3.0302,4.0
12,7,5,12,12,3.3095,4.1326,4.214300000000001,1.4377,2.4265999999999996,3.0
15,12,5,2,5,3.3547,2.8394,4.5511,3.2141,1.8044,2.0
10,11,5,15,16,2.4406,4.261100000000001,2.7218999999999998,4.5113,3.4129000000000005,1.0
6,11,5,15,3,2.3275,3.9625000000000004,2.5102,4.5813,4.384799999999999,1.0
9,2,5,12,17,3.0932999999999997,4.6483,3.7428,2.3106,3.0371,1.0
3,11,5,6,0,2.3080000000000003,3.6041,3.7862999999999998,4.5702,3.4396,1.0
2,2,5,9,2,1.8127,3.9012000000000002,4.0815,3.7475000000000005,4.1344,3.0
0,15,0,15,9,3.4742,4.2375,1.7061000000000002,3.9571,3.1809,3.0
17,17,17,3,3,3.0696,2.7395,2.3202000000000003,3.7523,3.2616,4.0
15,15,8,6,13,4.5531,2.2138,3.4360000000000004,2.8954,1.7619,2.0
0,12,5,3,5,3.3256,3.8685,3.8107,3.3638,2.082,2.0
2,2,5,2,2,2.3055999999999996,3.0391000000000004,4.032800000000001,4.0424,3.6207,4.0
2,2,0,0,2,1.3734,3.7679,2.5641000000000003,4.4619,4.0683,4.0
0,17,14,6,3,3.1875000000000004,2.6282,2.3881,4.4034,3.8725,1.0
9,11,9,16,9,2.5573,4.6591000000000005,2.8363,2.2651,3.4078,3.0
2,17,17,6,2,2.3427,2.1625,3.4482,4.3833,4.0878,3.0
17,11,14,15,3,2.727,3.3431,1.2448000000000001,4.3083,4.3396,1.0
10,2,5,9,2,2.1505,4.2898,4.457400000000001,3.6116,3.5541,2.0
9,15,0,5,2,3.2228999999999997,4.5374,2.5047,3.0698,3.3616,1.0
12,11,0,16,16,2.302,4.6922,2.3835,3.2418,3.3819999999999997,2.0
0,15,5,12,16,3.7832999999999997,4.3822,2.2249,3.4502,2.1014,1.0
2,2,5,15,2,2.1023,3.7134,3.2186,4.2927,4.5329999999999995,3.0
0,15,14,15,3,3.4013000000000004,3.4944,1.0573000000000001,4.304,3.3697999999999997,2.0
11,11,0,0,0,1.1002999999999998,4.3416999999999994,2.5547,4.1411,3.5018,4.0
2,2,14,6,2,2.1982,2.8497000000000003,2.9158,4.2596,4.5813,3.0
9,6,5,12,9,3.5081,4.6480999999999995,3.3464000000000005,1.9821,2.2398,2.0
11,2,0,0,2,1.4766,4.1883,2.6081000000000003,3.857,3.9254,3.0
7,3,8,2,13,4.388,1.704,4.1406,1.5459999999999998,1.1704999999999999,1.0
0,0,0,15,9,3.4723,3.7419000000000002,1.6532,3.5677,3.4257,3.0
6,17,5,9,17,2.2066,3.6426000000000003,4.429,3.3975,4.1908,2.0
6,6,5,6,6,2.5042000000000004,3.8176,2.9817,3.3116,3.4433,4.0
17,2,5,5,17,2.8366,4.1011999999999995,2.9415,3.0275999999999996,4.3171,3.0
17,12,5,3,2,3.5504,3.6033,3.6715,3.5394,3.215,1.0
7,17,5,9,12,3.1154,3.3869999999999996,4.5537,2.2981,3.0076,1.0
8,2,5,9,2,2.1039,4.2945,4.401800000000001,2.8716000000000004,4.1263000000000005,2.0
0,15,8,3,3,3.9994,3.6154,2.1942000000000004,3.7045,1.8081999999999998,2.0
15,15,15,15,15,3.7255,3.4313999999999996,2.0468,2.9090000000000003,1.9603000000000002,5.0
17,0,5,15,2,3.3510000000000004,3.3807,2.5387,3.5937,4.3248,1.0
6,17,5,6,5,2.2693,3.1216,4.3487,3.9299999999999997,4.2455,3.0
9,15,5,3,0,3.1908000000000003,4.5922,3.5525,3.1646,2.577,1.0
5,17,5,6,2,2.8005,3.0134,4.4199,3.9330000000000003,4.2931,2.0
7,7,7,6,15,3.7741000000000002,2.5881,3.3956,2.2329,3.1264000000000003,3.0
12,7,5,9,0,1.9179,4.4131,4.814,2.4537999999999998,3.4362999999999997,1.0
